ticker,date,period_ending,estimate,reported,surprise,surprise%
ACI,29-JUL-21,May 2021,0.68,0.89,0.21,30.88
ACLS,04-AUG-21,Jun 2021,0.45,0.55,0.1,22.22
ACM,09-AUG-21,Jun 2021,0.73,0.73,0.0,0.0
ACN,24-JUN-21,May 2021,2.23,2.4,0.17,7.62
ACRE,30-JUL-21,Jun 2021,0.35,0.37,0.02,5.71
ACRS,05-AUG-21,Jun 2021,-0.26,-0.34,-0.08,-30.77
ADBE,17-JUN-21,May 2021,2.81,3.03,0.22,7.83
ADC,26-JUL-21,Jun 2021,0.88,0.89,0.01,1.14
ADI,18-AUG-21,Jul 2021,1.61,1.72,0.11,6.83
ADM,27-JUL-21,Jun 2021,1.01,1.33,0.32,31.68
ADNT,05-AUG-21,Jun 2021,0.08,-0.53,-0.61,-762.5
ADP,28-JUL-21,Jun 2021,1.13,1.2,0.07,6.19
ADPT,04-AUG-21,Jun 2021,-0.43,-0.35,0.08,18.6
ADSK,25-AUG-21,Jul 2021,1.11,1.21,0.1,9.01
ADT,04-AUG-21,Jun 2021,0.26,-0.07,-0.33,-126.92
ADTN,04-AUG-21,Jun 2021,0.13,0.16,0.03,23.08
ADUS,02-AUG-21,Jun 2021,0.89,0.9,0.01,1.12
AEE,05-AUG-21,Jun 2021,0.78,0.8,0.02,2.56
AEIS,04-AUG-21,Jun 2021,1.29,1.25,-0.04,-3.1
AEL,05-AUG-21,Jun 2021,0.53,0.98,0.45,84.91
AEO,02-SEP-21,Jul 2021,0.55,0.6,0.05,9.09
AEP,22-JUL-21,Jun 2021,1.14,1.18,0.04,3.51
AERI,04-AUG-21,Jun 2021,-0.65,-0.67,-0.02,-3.08
AES,04-AUG-21,Jun 2021,0.29,0.31,0.02,6.9
AFG,03-AUG-21,Jun 2021,1.64,2.39,0.75,45.73
AFL,28-JUL-21,Jun 2021,1.27,1.59,0.32,25.2
AFMD,08-SEP-21,Jun 2021,-0.07,-0.19,-0.12,-171.43
AGCO,29-JUL-21,Jun 2021,2.17,2.88,0.71,32.72
AGEN,09-AUG-21,Jun 2021,-0.24,-0.37,-0.13,-54.17
AGIO,29-JUL-21,Jun 2021,-1.39,-1.36,0.03,2.16
AGL,04-AUG-21,Jun 2021,-0.05,-0.06,-0.01,-20.0
AGLE,05-AUG-21,Jun 2021,-0.19,-0.1,0.09,47.37
AGNC,26-JUL-21,Jun 2021,0.64,0.76,0.12,18.75
AGR,20-JUL-21,Jun 2021,0.42,0.35,-0.07,-16.67
AGYS,27-JUL-21,Jun 2021,0.15,0.21,0.06,40.0
AHCO,05-AUG-21,Jun 2021,0.29,-0.11,-0.4,-137.93
AHH,03-AUG-21,Jun 2021,0.25,0.29,0.04,16.0
AHT,28-JUL-21,Jun 2021,-2.15,0.04,2.19,101.86
AI,01-SEP-21,Jul 2021,-0.32,-0.23,0.09,28.13
AIG,05-AUG-21,Jun 2021,1.19,1.52,0.33,27.73
AIMC,23-JUL-21,Jun 2021,0.82,0.89,0.07,8.54
AIN,26-JUL-21,Jun 2021,0.72,1.01,0.29,40.28
AIR,20-JUL-21,May 2021,0.44,0.47,0.03,6.82
AIT,17-AUG-21,Jun 2021,1.18,1.51,0.33,27.97
AIZ,03-AUG-21,Jun 2021,2.49,2.99,0.5,20.08
AJG,29-JUL-21,Jun 2021,1.07,1.17,0.1,9.35
AJRD,26-JUL-21,Jun 2021,0.44,0.59,0.15,34.09
AKAM,03-AUG-21,Jun 2021,1.39,1.42,0.03,2.16
AKBA,05-AUG-21,Jun 2021,-0.3,-0.51,-0.21,-70.0
AKR,28-JUL-21,Jun 2021,0.26,0.3,0.04,15.38
AKRO,13-AUG-21,Jun 2021,-0.72,-0.83,-0.11,-15.28
